title,category,multiclass,content
"Paralympic athlete, patay sa aksidente",D,1,nasawi iranian national athlete matapos maaksidente race cyclist tournament rio de janeiro paralympics games base inilabas impormasyon international paralympics committee ipc nasawi aksidente bahman golbarnezbad -anyos mabundok bahagi cycling course sinasabing agad binigyan emergency treatment biktima inatake puso dinadala rio hospital ideklarang namatay nagparating naman pakikiramay sina ipc president philip craven rio olympic organizing committee head carlos nuzman bumubuo paralympic movement naiwang pamilya kaibigan teammates golbarnezbad kauna-unahang naitalang kaso pagpanaw atleta kasagsagan paralympics games patuloy iniimbestigahan nangyaring aksidente
"PATAYAN VS ILLEGAL DRUGS, WALANG PUKNAT!",C,0,patuloy pinaigting awtoridad panghuhuli nagtutulak gumagamit pinagbabawal gamot buong metro manila katao bumulagta magkakahiwalay lugar muntinlupa maynila aque quezon city taiwanese national arestado shabu las pi city muntilupa patay notorious tulak droga manlaban umano makipagbarilan pulis arestuhin buy-bust operation kamakalawa gabi inilabas report supt criselda de guzman station anti-illegal drugs special operations task group said-sotg muntinlupa city police nakilala suspect jun vivo alyas bangus kareem umanong kilalang drug pusher purok extension brgy alabang muntinlupa city upang maaresto vivo operatiba said-sotg nagpanggap buyer droga dakong alas- gabi brgy alabang nasabing lungsod gitna bentahan droga agad natuguan pulis bumibili shabu agad itong bumunot baril pinaputukan naturang pulis naman tinamaan nakipagpalitan putok suspect awtoridad makalipas minutong palitan putok duguang bumulagta wala buhay suspect baclaran aque city wala buhay matagpuan pedicab driver hinihinalang tulak droga tama bala baril katawan kahapon madaling-araw nakuhang identification card nakilala biktima marvin toston alyas burdado -anyos baclaran nasabing lungsod dakong alas-dos madaling-araw makatanggap tawag residente opisyal barangay baclaran hinggil pagkakatagpo bangkay biktima papel iniwan katawan nakasaad tularan pusher sta ana maynila nagtapos buhay hinihinalang drug pusher matapos makipagpalitan putok tauhan manila police district mpd tangkain itong arestuhin kinilala nasawing suspek conrado vero hustong gulang residente barangay sta ana nagtamo tama bala tauhan mpd sinasabing maliban panghoholdap kilala suspek tulak ipinagbabawal gamot itinuturing itong salot lipunan qc nakikilalang lalaki nanlaban pulis matapos sitahin kahina-hinalang kilos subalit nanlaban lalapitan napilitan pulis gumanti putok masawi mabilis naman nakatakas kasama
Bagyo parating,D,1,low pressure area lpa mino-monitor pagasa loob philippine area responsibility par posibleng ganap bagyo susunod araw pagasa kahapon alas-kuwatro madaling-araw kilometers west calapan city oriental mindoro nasabing lpa umano itong lumakas karagatang sakop west philippine sea wps sakali nakalabas par patungo vietnam nabuong bagyo simula ideklara pagasa pormal pagpasok panahon tag-ulan wala pang bagyong umentra par
"Lugar ni Duterte, nahagip ng bomb scare",T,7,nagkagulo kahapon davao city matapos mag-panic residente subdivision di-kalayuan bahay pangulong rodrigo duterte naiwang attach case pinaghinalaang bomba agad umanong itinawag pulisya resi dente luisa village quimpo boulevard kahina-hinalang attach case pinutakte sundalo pulis naturang lugar mabilis ding rumesponde k unit pulisya ipinasiyasat agad aso nasabing attach case wala namang natagpuang bomba loob halip pulos barya nakumpiska bomb experts nabatid residente roon nakaiwan attach case naibalik kamakalawa backpack naiwan san pedro street negatibo pampasa bog
Jackpot na P6-M ng 6/42 Lotto nasapol ng solo winner,EC,3,mag-isang napanalunan masuwerteng mananaya lotto tumataginting p milyon jackpot prize isinagawa philippine charity sweepstakes office draw kamakalawa gabi winning combination lotto jackpot - - - - - nanalo saturday grand lotto jackpot nagkakahalaga p winning combination grand lotto jackpot - - - - -
Malaking tapyas sa oil price,EC,3,good news motorista nagpatupad malaking bawas presyo produktong petrolyo kumpanya langis bansa pina ngunahan pilipinas shell epek tibo ngayong umaga nobyembre ipinadalang text message ina soriano pilipinas shell bumaba p kada litro presyo gasolina p kerosene p kada litro diesel epektibo ngayong alas-sais umaga inaasahan naman mag-aanunsyo pagbawas presyo produktong petrolyo pang oil companies kabilang pang tinaguriang big kahalintulad halaga soriano pagbawas presyo produktong petrolyo bunsod paggalaw pandaigdigang pamilihan nitong nakaraang linggo sunud-sunod ipinatupad pagtaas presyo langis huling nagpatupad rollback noong setyembre p kada litro kerosene p naman diesel paggalaw gasoline
"2 patay, 7 sugatan sa tandem",C,0,patay sugatan magkasunod insidente pamamaril riding-in-tandem bacolod city kahapon pinagbabaril barangay lalaking magkaangkas motorsiklo nakasuot bonnet empleyado sikat kainan lungsod nabatid kabibili sigarilyo biktima sina edwin despi ben nabor agad nasawi despi tinamaan naman leeg huli namatay insidente lalaking nakilala matukoy kaangkas biktima motorsiklo maliban sugatan dala wang nasabing pamamaril minuto nakakalipas pinaulanan bala lalaking magkaangkas motorsiklo nakasuot bonnet katao naglalaro cara cruz gilid lansangan purok sigay barangay iniimbestigahan bacolod city police office magkaugnay insidente pagkakahawig estilo suspek
"Michael Angelo, napatawad na ang Showbiz peeps na nanloko sa kanya!",E,2,lungkot naramdaman inspirational speaker television host michael angelo lobrin magsimula noong sabado season programa gma news tv michaelangelo nalulungkot michael kasama successful journey television show original staff noong time nagsisimula show talagang ha ving difficulties finances ho nest staff nade-delay po salaries time nalulungkot lang talked gma point kuwento sarado yung michaelangelo nagbabayad yung host naman po ganoon totoo yon problem po binabayaran sobra akong tinaga siyempre baguhan show excited tv staff magpapa ngalan magkano yung ca mera rental per taping po yung camera rental p naman baka naman normal yon ipinakita chito francisco manager much lumabas p pala pinatawad fact reaching christmas natatawa lang nakikita gma nakakasalubong pinto lumulusot pader wala po yon dun nalulungkot totoo lang sayang kasama yung unang kasama nangarap pangarap lang itong show yung original kanta sisi ngilin lang kita willie revillame natuwa naman pinaniwalaan yon nu aalis sinisingil p yung ho nagbayad yon nagkataon lang nu time yon tight budget ipinakiusap bigyan n yo reasonable nagpapasala mat nagtanggol yung nakakakilala ganoon michael angelo kuwento michael angelo karanasan baguhan tv host producer
Pulis patay sa pagsisilbi ng warrant of arrest,C,0,ipinakita magiting miyembro philippine national police pnp kabila tama bala baril matapos umanong maunahan nagsisilbi warrant arrest nagawa parin nitong makalaban tuluyan bawian buhay ikinasawi suspek glan sarangani province general santos city inisyal report nakarating camp crame nakilala biktima nasawi du n lugar pinangyarihan spo rodolfo turtal glan municipal police station nangyari krimen purok krisbla brgy congan glan nagtungo umano spo turtal nasabing lugar kasama po seigfred sarcon magsilbi warrant arrest kasong frustrated murder suspek ariel array agad naman umanong nasabing suspek lugar agad nagpakilala sina spo turtal po sarcon police officer akma umanong puposasan suspek pumalag sumigaw saklolo kamag-anakan kaanak nakilalang gregorio array armado umano shotgun agad pinaputukan spo turtal tinamaan tiyan subalit kabila tama nagawa parin umanong gumanti putok spo turtal tulong narin umano po sarcon napatay deo array carino lipay subalit dumamami pang kaanak sumugod armado kutsilyo itak pinagsasaksak pinagtataga turtal napilitan umanong iligtas po sarcon pagtakbo bahay brgy captain nasabing lugar gayunpaman dumating reinforcement target suspek kinilalang sina gregorio array toting palawan alvin sagli ronnie sagli kalolo array anjing singcala dawi bansalao calmamat array benjie montecioso nakatakas pulisya suspek naaresto nagngangalang rustom array -anyos subalit pinabulaanan nitong sangkot nangyaring kaguluhan
"Mga kaso, pabor kay  PNoy",P,5,imbes mabahala itinuturing kaalyado dating pangulong benigno noynoy aquino iii pabor kasong isinampa militanteng grupo kaugnay disbursement acceleration program dap kahapon kasagsagan bagyong butchoy sumugod tanggapan ombudsman cause-oriented groups upang isampa -pahinang reklamo technical malversation kina aquino ex-budget sec butch abad ok nasampahan kaso aquino pagkakataon pnoy patunayan wala siyang sala dap tingin naman wala siyang sala magpapakulong ifugao rep teddy baguilat liberal party lp
"Bakbakan sa minorya, mas exciting!",P,5,exciting house minority leadership ngayong umaga last two minutes pagkalas quezon city rep feliciano sonny belmonte jr nagdesisyong sumama lang super majority binuo incoming house speaker pantaleon bebot alvarez puntong kongresista maglalaban-laban speakership ngayong umaga kasama sina davao del norte rep pantaleon bebot alvarez kalaban sina quezon rep danilo suarez sinuman grupo nina navotas rep toby tiangco united nationalist alliance rep edcel lagman posible corner fight sapagkat nag-uusap tatakbo ani lagman runner-up alvarez iboboto umano mahigit congressmen speakership magiging house minority leaders isinusulat balitang nakatakdang magpulong sina lagman tiangco maglalagdaan naman kasunduan sina alvarez dating house speaker feliciano sonny belmonte jr pormal magsanib grupo lp super majority coalition umano nina lagman nasabing hakbang umano basagin aniya ulp unfair legislative practice th congress pagpili umano super majority suarez minority leader yan tunay rubber stamp wala debate sila-sila lang eh yung majority coalition eh majority yung majority pinili minority lang majority anong mangyayari n yan sinasabi ulp yan unfair legislative practice ani lagman
CURRY SNEAKERS’ AUCTION TUMABO,S,6,nakalikom golden state warriors star stephen curry biktima oakland warehouse fire auctioning sneakers ipinahayag warriors noong biyernes shoes sinuot curry kontra new york knicks nu disyembre binenta anonymous bidder presyong tampok oakland strong shoes katagang oakland babang gilid kaliwa strong kanang bahagi sapatosang gsw yellow blue colors napunta pregame ghost ship shoes salitang ghost ship graffiti-style script baba kaliwa kanang sulok pang anonymous bidder halaga namang inisyal biktima sunog nag-post curry twitter advertise ebay auction nagkasunog nu dis party ghost ship warehouse
Bigtime oil hike bago mag-Pasko,EC,3,araw suma pit pasko ilalarga kumpanya langis panibagong dagdag pasanin publiko inisyal abiso papalo - itataas litro diesel - naman kada litro gasolina kerosene posibleng ianunsyo price hike ngayong araw ipatupad ngayong buwan disyembre makailang ulit nagpatong halaga petrolyo kumpanya langis rason pagtaas presyo inaangkat krudo world market kamakailan nagpatupad oil companies p dagdag-presyo kada litro gasolina diesel wala ibinibigay garantiya kumpanya langis kalian matatapos pagtataas presyo word market asahan makailang serye oil price hike matapos taon
Sunog sa Pandacan oil depot,D,1,kanya-kanyang takbuhan residente matapos sumiklab sunog pandacan petroleum depot district nagresulta pagkasunog bahay kamakalawa gabi jesus st pandacan maynila manila fire bureau dakong alas- gabi sumiklab sunog lugar maraming nangungupahang bed spacer boarder jesus st pandacan maynila malapit compound philippine national oil company katapat petron storage facility umabot ika-limang alarma sunog idineklarang fire control dakong alas gabi idineklara namang fire dakong alas- gabi tinangka umano residente tumulong pag-apula apoy dina nagawa sumabog lpg tank tinatayang pamilya nagpalipas magdamag lansangan wala namang iniulat nasawi nasugatan sunog patuloy iniim bestigahan arson investigator sfo sonny lacuban sanhi sunog
Magnitude 7.2 tumama sa Sulu,D,1,niyanig kahapon magnitude lindol bahagi mindanao malapit celebes sea earthquake bulletin philippine institute volcanology seismo logy phivolcs tumama epicenter lindol kilometro timog-silangan tongkil sulu naramdaman pag yanig bandang alas- hapon lalim kilometro naitala intensity general santos city pagkaraan labin minuto tumama naman magnitude aftershock kilometro siasi sulu naitala intensity mati davao oriental bagama kalakasan paglindol pinawi phivolcs director renato solidum pangamba publiko solidum banta pinanga ngambahang tsunami malalim tectonic origin sanhi lindol wala umanong ina asahang casualty nasirang ari-arian
"NBA All-Star game highlight:  Curry, Durant vs. LeBron, Irving",S,6,nakaungos stephen curry tiebreaker samahan golden state teammate kevin durant lineup katauhan nina lebron james kyrie irving starters cleveland nba all-star game nasapawan nina curry james harden houston russell westbrook western conference backcourt spots nitong huwebes bagong voting system kinabilangan players media makakasama sina frontcourt choices durant anthony davis new orleans kawhi leonard san antonio east lineup feb game new orleans sina giannis antetokounmpo milwaukee jimmy butler chicago frontcourt demar derozan toronto backcourt tinalo derozan isaiah thomas boston pang tiebreaker james leading scorer all-star game history nakatakdang panglimang player lang nag-start games leading vote-getter fans nakuhang halos million votes think standpoint people enjoy way play game respect way play game point career still something right aniya bagong format percent votes fans tig- percent players media panel kinapos datihang east starters dwyane wade carmelo anthony naiwan james kasama irving players first timers naiboto antetokounmpo unang all-star bucks kasunod michael redd noong -
33 BIFF patay sa engkwentro,T,7,bunsod humpay pakikipagbakbakan pamahalaan kasapi bangsamoro islamic freedom fighters biff pumalo miyembro biff iniulat nasawi naman sugatan maguindanao kinumpirma afp spokesperson brig gen restituto padilla base talaan ipinarating tauhan field resulta halos linggong bakbakan noong hulyo muling sumiklab tensyon naturang lugar pansamantalang lumikas residente samantala residente datu unsay lumikas tahanan nagaganap kaguluhan naman salibo datu saudi ampatuan pansamantalang itinigil bakbakan matapos umatras miyembro biff patungo lugar kilalang kuta milf samantala nilinaw padilla pasukin basta-basta area milf nakikipag-coordinate pamunuan upang maiwasan anomang mis-encounter
UN naalarma sa missile tests ng NoKor ,P,5,nagpahayag pagkabahala united nations un kaugnay serye missile tests isinasagawa north korea nokor un secretary general ban ki-moon pahayag kasunod paglulunsad kamakalawa pyongyang ballistic missiles sinabi farhan haq spokesman ban nokor nakakatulong mabawasan tensyon korean peninsula pinag-aaralan un security council magiging tugon panibagong probokasyon nokor sinabi un paglulunsad ballistic missile pyongyang paglabag resolusyon united nations north korea
"Haharangin ng Legitimate 8 Mahal na VAT, oil tax sobrang anti-poor!",EC,3,katwirang pabigat ginhawa idudulot planong bawas-income tax dagdag vat oil excise tax administrasyong duterte lalo mahihirap konsumer minority bloc kamara matutulan maipasa kongreso press conference tinaguriang legitimate kamara sinabi akbayan rep tom villarin ordinaryong mamamayan tatamaan plano gobyerno magtaas buwis pansalo namang pagbaba personal corporate income tax naman itong haharangin increased excise tax fuel would mean increase prices food basic commodities paliwanag villarin sinabi naman albay rep edcel lagman pagpapababa income tax gaanong pakikinabangan nakararami lalo maraming trabahador exempted tax maliit sahod maraming tatamaan aalisin vat exemptions itataas excise tax dagdag lagman iginiit villarin kailangang magpatupad regulatory measures pamahalaan isusulong pangakong pagbaba personal income tax pangu long rodrigo duterte wala malaking problema
KISS ng Korea aayuda sa PSI,S,6,agad tinupad korea institute sports science kiss pangakong suporta tulong pagbahagi high-tech scientific expertise paghulma atleta programa sports pag-imbita bumubuo philippine sports institute psi phil sports commission psc nabatid kahapon psi national training director marc edward velasco magsasadya deputy director prof henry daut pebrero korea papasok buwan makipa-meeting kiss high-ranking officials pagtutulungan bansa sports plans programs really thanks kiss allowing us learn things support assistance pahayag velasco know kiss unicef united national children fund granted sports institute asia really learn many things nakatuon psi talent identification sports nutrition strength conditioning sports sciences pagbili equipment makakatulong ahensya upang makadebelop mapaangat atletang pinoy unang nagtungo bansa kiss officials noong jan upang saksihan paglulunsad psi philsports arena pasig pinangunahan psc chairman william ramirez upang inisyal kasalukuyang kagamitan matukoy pasilidad sinabi naman psc executive director carlo abarquez kumikilos mambabatas upang matulungan psi psc tuluyang pagpapanatili makabago siyentipikong proseso pagtuturo sports buong bansa pagbigay suporta pagsasabatas pagbalangkas psi
"Anak patay, nanay timbog sa drug raid",C,0,p pulis yan naisigaw sammer torculas residente linceo st pandacan maynila inang clodchedge torculas alyas gigi bumunot kalibre baril tinangkang paputukan tauhan manila police district-police station nagsagawa buy-bust operation bahay kamakalawa gabi pandacan maynila imbestigasyon spo john charles duran manila police district-homicide section naganap buy-bust operation dakong alas- gabi bahay pamilyang torculas nabatid nagkasa umano buy-bust operation pulis gigi kilalang tulak iligal droga lugar nauwi putukan insidente inaresto ina nitong gigi nakapiit mpd-ps nahaharap kasong paglabag section drug pushing drug possession republic act
P20M shabu nasabat sa Bukidnon,C,0,katao inaresto matapos makumpiskahan p milyon halaga shabu martes gabi brgy impalutao impasug-ong bukidnon bukod iligal droga nakakumpiska arresting officers kalibre pistol bala p cash tablet cellphones dinakip suspek sina nahar apam sohud salik tho tha johari akmad pawang taga-mindanao napag-alaman pinara sinita tauhan highway patrol group regional chief sr supt gabriel lopez gray toyota corolla plakang uco- tumambad shabu inaresto sakay inihahanda kasong carnapping paglabag comprehensive dangerous drugs act llegal possession firearms ammunitions isasampa suspek
"Kasimplehan ni Digong, aprub sa mga obispo",P,5,pinapurihan obispo simbahang katolika simpleng inauguration pre sident-elect rodrigo duterte rizal ceremonial hall palasyo malaca sinabi cubao bishop honesto ongtioco napakagandang mensahe ipinapara ting duterte mamamayang filipino napakahalaga pagiging simple pang-araw-araw buhay aniya pagiging simple bagay napakagandang pag-uugali buhay filipino idinagdag ongtioco magandang kultura filipino matutong mamuhay simple upang matugunan kalagayan ekonomiya pilipinas mahihirap kumpara mayayaman happy simple inauguration need simple even way life simplicity important value promote aniya samantala sinabi naman boac bishop antonio maralit magandang halimbawa sambayanang filipino pagiging simple bagong presidente bansa kasabay umapela nasabing obispo mamamayang filipino ipanala ngin duterte makakasama nitong mamahala bansa tunay magawa tungkulin tunay pagbabago bansa inihayag naman apostolic vicariate puerto princesa palawan bishop pedro arigo tumpak halimbawa pagi ging simple duterte naghihirap filipino matatandaang reaksyon simbahang katolika ibinuyangyang sen antonio trillanes iv bank accounts duterte nagtataglay kuwestyunableng deposito umabot p million less mismong pananalita nanalong pangulo noong kasagsagan kampanya
"EYE-BALL: Happy birthday, Japeth Aguilar!",S,6,birthday kahapon japeth aguilar kahapon laro nagdiwang japeth kaara wan via charity event taun-taon naman japeth ganitong activity sinabi japeth nagpa-practice palagay handa siyang lumaro linggo ginebra naglaro mara ming dating mapua players mit foundation day campus nu martes nanood mara ming estudyante natuwa dating players eskuwela kabilang nagpunta sina alvin patrimonio japeth aguilar chito victolero randy alcantara cj isit joseph eriobu kenneth ighalo benny cheng yong garcia allan ngahas jonathan banal jeffrey martin valerio amang lopez nakalaban present batch mapua cardinals pinangunahan naman atoy co ex-king cardinal gloxi height enhancer supplement mabait nag-sponsor event pag-provide uniforms japeth endorser gloxi kasama ama peter aguilar laro katapusang photo op estudyante mapua tuwang-tuwa players makalaro ulit eskuwelang nagbigay break basketball careers kinausap coach tim cone players nu martes masinsinan mahabang usapan mag-practice ganda laro ginebra huling naman wake call
"Helen, signal No. 2 na",D,1,lalo pang lumalakas typhoon helen international name megi kumikilos patungong kanluran hilagang-kanluran kilometers per hour philippine atmos pheric geophysical astronomical services administration pagasa pagasa kilometro silangang basco batanes bagyong helen maximun winds aabot kilometers per hour pagbugsong aabot naman kilometers per hour tinatayang kilometers diameter rainfall amount dala bagyo katamtaman malakas nakataas tropical cyclone war ning signal tcws lugar batanes islands posible storm surge open sea wave metro taas signal naman lugar babuyan group islands samantala tiniyak national disaster risk reduction management council ndrrmc handa silang tumugon lugar direktang maaapektuhan bagyong helen ndrrmc chief ricardo jalad
90 patay sa kidlat sa India,D,1,umakyat mahigit -katao naitalang nasawi pagtama kidlat estado bansang india bunsod nararanasang monsoon rain base ulat cnn sinabi vyas ji principal secretary bihar martes -katao nasawi matapos tamaan kidlat malakas buhos ulan sinasabing karaniwan tumatama kidlat naturang bansa tag-ulan napag-alamang noong aabot -katao namatay kidlat pamahalaan india maraming namamatay pagkidlat natural kalamidad gaya bagyo lindol pagbaha pagguho lupa
"PINAKAMALILIIT NA BARYO, PUNTIRYA NI VP LENI",P,5,prayoridad pangunahing tututukan vice president leni rob redo problema kagutuman kalusugan kaunlaran kanayunan edukasyon people empowerment partikular malalayo mahihirap barangay bansa importante aniya magkaroon sapat pagkain pilipino larangang saya nging oras pangarap natin maibsan paghihirap lalong madaling panahon niyayaya kayong samahan n yo pagla lakbay pagha yag robredo malaman emosyonal inaugural speech kahapon unang -araw plano nitong puntahan pinakamalalayo pinakamaliliit barangay bansa upang alamin bagay kababayan matugunan sinimulan nating gawin distrito lalawigan camarines sur isinilang nag-aral nagtayo pamilya namulat problema lipunan napudpod tsinelas paghahanap mabisang solusyon kahirapan umaasa pagdala natin tanggapan pangalawang ngulo barangay mararamdaman ninyo totoong nariyan pamahalaan inyo nadama ninyo yan magkakaroon inspirasyon simulan pagbabagong loob natin magsasaka ngingisda natulungan inabusong asawa binigyang lakas katutubo manggagawang nakasalamuha bahagi inaugural speech maliban tututukan tanggapan pangalawang pangulo ukol kahirapan kasulusugan pagbibigay kaunlaran kanayunan pagpapalakas kakayahan pilipino maginhawang buhay laylayan malawak nanawagan sambayanang pilipino agapayan panibagong yugto paglalakbay larangan paglilingkod bayan emosyonal unang bahagi talumpati bise presidente matapos mabanggit yumaong kabiyak dating dilg sec jesse robredo
4 lindol tumama sa VisMin,D,1,kalakasang paglindol tumama kahapon visayas-mindanao region ulat philippine institute volcanology seismology phivolcs magnitude tumama silangan sarangani davao oriental bandang ala- madaling-araw sunod niyanig magnitude lindol silangan governor generoso davao oriental bandang alas- madaling-araw magnitude tumama silangan kalingalan caluang sulo dakong alas- umaga panghuli magnitude tumama naman antequera bohol bandang alas- umaga phivolcs tectonic origin sanhi paglindol wala namang nakataas babala aftershock
Planong dagdag buwis sa fuel products,EC,3,pumalag agad senador planong pagpataw dagdag buwis produktong petrolyo giit senate minority leader ralph recto fiscal crisis upang bigyan katwiran pagpataw dagdag buwis produktong petrolyo fiscal crisis timing also bad oil prices way improve collection efficiency stop smuggling recto statement katanggap-tanggap senador leila de naturang plano malinaw dagdag pahirap naman publiko acceptable galit ba talaga mahihirap palagi lang mahihirap biktima war drugs mahihirap lang biktima pati ba naman pagkolekta buwis pagtatanong senador
Columbia niyanig,D,1,niyanig malakas lindol bansang columbia us geological survey usgs tala usgs naitala lindol lakas magnitude natukoy lalim kilometro sentro natukoy layong milya maliit bayan nasabing bansa naramdaman lindol neiva populasyong aabot kabila malakas pagyanig wala namang naitalang nasira nasaktan nasabing lindol
