title,category,content,original
PNP binaha ng tips dahil sa P1M reward,,dagsa tawag philippe national police pnp hggil karoroon bandidong abu sayaff bohol tapos ianunsyo ulong rodrigo duterte bigay p million reward kada abu sayaff huli impormasyo tip pnp chief director general ronald dela rosa abala pulis galugad lugar itimbre tipsters sabi dela rosa posibleng tawid ibang lugar visayas bandido laki tiyansang balik kuta mdanao bahagi armed forces philippes afp tiyak philippe army ligtas bandido gawg regular round-the-clock trulya lugar posibleng lagus pasok ibang probsya visayas mdanao,dinagsa tawag philippine national police pnp hinggil kinaroroonan bandidong abu sayaff bohol matapos ianunsyo pangulong rodrigo duterte magbibigay p million reward kada abu sayaff mahuhuli impormasyo tip pnp chief director general ronald dela rosa abala pulis paggalugad lugar itinimbre tipsters sinabi dela rosa posibleng tumawid ibang lugar visayas bandido malaki tiyansang bumalik kuta mindanao bahagi armed forces philippines afp tiniyak philippine army makakaligtas bandido gagawing regular round-the-clock pagpapatrulya lugar posibleng lagusan papasok ibang probinsya visayas mindanao
3 BIFF todas sa encounter,,todas sapi bangsamoro islamic freedom fighters biff higit oras engkuwentro militar tau citizens armed forces geographical unit cafgu pikit cotabato kilala sawi sina tarz buntasil kensem dungandong rusm salik mohammad bilang puga cotabato district jail barangay amas kidapaw city tau kander arpie biff pikit police chief insp donald cabigas nakaw grupo kander arpie alagang baka barangay bual pikit cotabato y-ari patid cafgu sina ariel wac constanto wac agad hanap cafgu nakaw baka sagupa grupo kander arpie sitio valencia barangay bual pikit,todas kasapi bangsamoro islamic freedom fighters biff mahigit oras engkuwentro militar tauhan citizens armed forces geographical unit cafgu pikit cotabato kinilala nasawi sina tarzan buntasil kensem dungandong rusman salik mohammad kabilang pumuga cotabato district jail barangay amas kidapawan city tauhan kumander arpie biff pikit police chief insp donald cabigas ninakaw grupo kumander arpie alagang baka barangay bualan pikit cotabato pagmamay-ari magkapatid cafgu sina ariel wacan constantino wacan agad hinanap cafgu magnanakaw baka makasagupa grupo kumander arpie sitio valencia barangay bualan pikit
Sayyaf pasabugin na! — PDU30,,ihatid ligalig bandidong grupong abu sayyaf bansa pakahuli lusob kipagsagupa tropa gobyerno bohol hayagang sabi ulo hayaang buhay told navy see asg boat blast bahagi talpati ngulong duterte grand lauch cine lokal sm mall asia pasay city makalawa gabi bigay direktiba ulong duterte tropa gobyernong engkwentro rebeldeng grupo pasuk fight surrender refuse decline offer surrender let continue fighting eventually run bullets plenty soldiers spare stock acquired meron bida ulo bigyang-di ulo pang huli ikulong abu sayyaf give pri soners need giit ulo iwala ulo salakay bohol abu sayyaf planong dukot sang-ayon munu armed forces philippes afp alok p million reward ulong rodrigo duterte sang bigay impormasyon eksaktong lokasyon tunton labi pang bandidong abu sayyaf bohol afp spokesperson brig gen restituto dilla welcome move sabg alok pasa lamat commander-in-chief ukol tiyak department national defense darakip ngayong lggo pang miyembro bandidong asg bohol sabg asg tirang takas anap engkuwentro makail abanga bohol defense secretary delf lorenzana positibo itong araw bilang bagsak kamay bandido,inihatid ligalig bandidong grupong abu sayyaf bansa pinakahuli paglusob pakikipagsagupa tropa gobyerno bohol hayagang sinabi pangulo hayaang mabuhay told navy see asg boat blast bahagi talumpati ngulong duterte grand lauch cine lokal sm mall asia pasay city kamakalawa gabi nagbigay direktiba pangulong duterte tropa gobyernong mapapaengkwentro rebeldeng grupo pasukin fight surrender refuse decline offer surrender let continue fighting eventually run bullets plenty soldiers spare stock acquired meron pagbibida pangulo binigyang-diin pangulo pang mahuli ikulong abu sayyaf give pri soners need giit pangulo naniniwala pangulo sumalakay bohol abu sayyaf planong pagdukot sang-ayon pamunuan armed forces philippines afp alok p million reward pangulong rodrigo duterte sinumang makapagbibigay impormasyon eksaktong lokasyon pagtunton nalalabi pang bandidong abu sayyaf bohol afp spokesperson brig gen restituto padilla welcome move nasabing alok pinasa lamatan commander-in-chief ukol tiniyak department national defense madarakip ngayong linggo pang miyembro bandidong asg bohol nasabing asg natirang nakatakas naganap engkuwentro kamakailan inabanga bohol defense secretary delfin lorenzana positibo itong araw bibilangin bumagsak kamay bandido
"Order ni Duterte: Sayyaf, pasabugin ‘wag ng buhayin",,hasik terorismo gulu bandidong grupong abu sayyaf ipag-utos ulong rodrigo duterte pulbus bandido wag hayaang buhay told navy see asg boat blast wika duterte bigay direktiba duterte sundalo engkwentro abu sayaff group asg pasuk fight surrender refuse decline offer surrender let continue fighting eventually run bullets plenty soldiers spare stock acquired meron giit ulo bigyang-di ulo pang huli ikulong abu sayyaf give prisoners need,paghahasik terorismo kaguluhan bandidong grupong abu sayyaf ipinag-utos pangulong rodrigo duterte pulbusin bandido wag hayaang mabuhay told navy see asg boat blast wika duterte nagbigay direktiba duterte sundalo makaka-engkwentro abu sayaff group asg pasukin fight surrender refuse decline offer surrender let continue fighting eventually run bullets plenty soldiers spare stock acquired meron giit pangulo binigyang-diin pangulo pang mahuli ikulong abu sayyaf give prisoners need
Palawan next target ng Sayyaf,,tapos bigo paniniwalaang lakg kidnap plot abu say yaf group asg lawig bohol alerto hapon awtoridad local government units lgus pu wersa pulisya military palaw ugnay sagap impormas yon sunod puntirya bandido makalawa gabi ikalat alert message upang bala bantay bagama biberipika ibang intelligence groups impormas yon mabuti alertu buong palaw bilang coron upang hadlang tim balak grupo incident bohol foiled attempt asg conduct kidnapping area big blow group regain lost continue attempt conduct kidnapping opportune time targets opportunity ikalat mensahe palaw province serve alternative place conduct activity dagdag pang mensahe lt col fa cundo commanding officer mblt- iparating nam lokal opis yal coastal areas coron saad tagang alert coastal barangays rescue suspicious motorbanca respective areas might bohol type asg landing time sunod sabat impormasyon personnel wescom impormante frequent trave ler lugar sabg grupo asg alis mapun island sakay speedboat patu ngong coron palaw hiling kiisa upang mu ling bigu bandido plano gaya harang bohol,matapos mabigo pinaniniwalaang malaking kidnap plot abu say yaf group asg lalawigan bohol inalerto kahapon awtoridad local government units lgus pu wersa pulisya military palawan kaugnay nasagap impormas yon susunod puntirya bandido kamakalawa gabi ikinalat alert message upang balaan mapagbantay bagama biniberipika ibang intelligence groups impormas yon minabuti alertuhin buong palawan kabilang coron upang hadlangan maitim balak grupo incident bohol foiled attempt asg conduct kidnapping area big blow group regain lost continue attempt conduct kidnapping opportune time targets opportunity ikinalat mensahe palawan province serve alternative place conduct activity dagdag pang mensahe lt col fa cundo commanding officer mblt- ipinarating naman lokal opis yal coastal areas coron nakasaad katagang alert coastal barangays rescue suspicious motorbanca respective areas might bohol type asg landing time kasunod nasabat impormasyon personnel wescom impormante frequent trave ler lugar nagsasabing grupo asg umalis mapun island sakay speedboat patu ngong coron palawan hihiniling pakikiisa upang mu ling biguin bandido plano gaya pagkakaharang bohol
P1M pabuya sa makapagtuturo sa pumugang ASG,,nagla higit p milyong buya sang turo pang sapi bandidong asg takas tapos dugong engkuwentro abanga bohol makail chief supt noli talo chief pnp region laki itutulong labas buya bilisang tunton dakip pang bandido isagawang peace order council meeting makalawa hapon sabi bohol police provincial director sr supt felipe tividad hu mgi tulong bandido sama mdanao bukod sugat hirap labas bandido paigting hpay tugis mahala kilala bandido tugis tapos takas sina joselito alih melloria alyas richard alyas asis alyas ubayda alyas poy alyas dah alyas saad alias amra nam kilala walong sama,naglaan mahigit p milyong pabuya sinumang makapagtuturo pang kasapi bandidong asg nakatakas matapos madugong engkuwentro inabanga bohol kamakailan chief supt noli talino chief pnp region malaki itutulong pagpapalabas pabuya mabilisang pagtunton pagdakip pang bandido isinagawang peace order council meeting kamakalawa hapon sinabi bohol police provincial director sr supt felipe natividad hu mingi tulong bandido kasamahan mindanao bukod sugatan hirap makalabas bandido pinaigting humpay pagtugis pamahalaan kinilala bandido tinutugis matapos makatakas sina joselito alih melloria alyas richard alyas asis alyas ubayda alyas poy alyas dah alyas saad alias amra naman kinilala pang-walong kasamahan
NGCP tower sa North Cotabato binomba,,pasabug hinalaang rebeldeng npa transmission tower national grid corporation philippes ngcp aleos north cotabato makalawa gabi ulat ngcp alas-sais alas- gabi bomba tower kibawe-kabac kilovolts barangay ang aleos bila nam bagsak natu rang transmission tower agad sagawa saayos transmission tower secure militar pulis lugar,pinasabugan hinihinalaang rebeldeng npa transmission tower national grid corporation philippines ngcp aleosan north cotabato kamakalawa gabi ulat ngcp alas-sais alas- gabi bombahin tower kibawe-kabacan kilovolts barangay pagangan aleosan kabila naman bumagsak natu rang transmission tower agad isasagawa pagsasaayos transmission tower na-secure militar pulis lugar
2 sundalong bihag pinalaya ng NPA,,ligtas balik milya sundalong bihag tapos laya rebeldeng new people army npa hapon tanghali tanao davao del sur batay iparating ulat sr insp bernard francia hepe colombio police camp crame iturn rebelde bihag sina sgt solai man calocop pfc muel garay th infantry batta lion philippe army bandang alas- aga sundu milya local officials colombio representante religious sector palayang bihag sundalo barangay bangkal tanao davao del sur laya bihag bunsod tuloy kipag-negosasyon rebelde buong task group kabibilang sundalo pulis religious sector local officials community sabi francia lakg factor tupad suspension military ope rations somo upang laya ituturing npa prisoners war,ligtas nakabalik pamilya sundalong bihag matapos palayain rebeldeng new people army npa kahapon tanghali matanao davao del sur batay ipinarating ulat sr insp bernard francia hepe colombio police camp crame itinurn rebelde bihag sina sgt solai man calocop pfc muel garay th infantry batta lion philippine army bandang alas- umaga sunduin pamilya local officials colombio representante religious sector pinalayang bihag sundalo barangay bangkal matanao davao del sur pagpapalaya bihag bunsod patuloy pakikipag-negosasyon rebelde binuong task group kinabibilangan sundalo pulis religious sector local officials community sinabi francia malaking factor pagpapatupad suspension military ope rations somo upang mapalaya itinuturing npa prisoners war
Walang puwang sa lipunan ang Abu Sayyaf – Alejano,,puwang lipun bandidong abu sayyaf group tantan tugis lipol hayag dalo party-list rep gary alejano tapos bigong lusob grupo bohol nibagong pugot grupo kapit barko ani alejano problema asg problema solong resolba militar bagkus roon whole nation approach asg pwedeng bigy puwang sibilisadong lipun wika babtas lungkot lang aniya may bigay suporta asg lalo mdanaw lakas loob bandido hasik terorismo publiko kipagtulung gobyerno rtikular bigay impornasyon tulong dalg tuntun karoroon bandido glipat lipat kampo giit alajeno,puwang lipunan bandidong abu sayyaf group tantanan pagtugis paglipol pahayag magdalo party-list rep gary alejano matapos bigong paglusob grupo bohol panibagong pagpugot grupo kapitan barko ani alejano problema asg problema solong reresolbahin militar bagkus magkaroon whole nation approach asg pwedeng bigyan puwang sibilisadong lipunan wika mambabtas nakalulungkot lang aniya mamamayan nagbibigay suporta asg lalo kamindanawan lumalakas loob bandido maghasik terorismo publiko makikipagtulungan gobyerno partikular pagbibigay impornasyon makatutulong madaling matuntun kinaroroonan bandido makakapaglipat lipat kampo giit alajeno
2 bandido timbog sa Zambo,,zamboanga city notoryosong bandido sabit ramg krimalidad dakip sanib puwersa militar pulisya lawig zamboanga sibugay sabi supt rogelio alabata regional police spokesman tuloy hapon terogasyon kina abdurahm sakil pujik ismael dakip barangay tiayon bay naga rehong tong-patong kaso warrant arrest krimal bawi caliber pistol granada kete hinalang shabu p cash suspects involved series kidnapg incidents highway robberies victimizing rural transit buses passenger vans car napping extortion piracy ani alabata suspek tay army intelligence officer th infantry battalion atake parak makail,zamboanga city notoryosong bandido sabit maraming kriminalidad nadakip pinagsanib puwersa militar pulisya lalawigan zamboanga sibugay sinabi supt rogelio alabata regional police spokesman patuloy kahapon interogasyon kina abdurahman sakilan pujik ismael nadakip barangay tiayon bayan naga parehong patong-patong kaso warrant arrest kriminal nabawi caliber pistol granada pakete hinihinalang shabu p cash suspects involved series kidnaping incidents highway robberies victimizing rural transit buses passenger vans car napping extortion piracy ani alabata suspek pagpatay army intelligence officer th infantry battalion atake parak kamakailan
"Pagpugot sa kapitan ng barko, kinondena ng Palasyo",,rig kondena lasyo laca pugot bandidong abu sayyaf bihag kapit barko noel besconde express sincerest condolences bereaved family fb ramon captain noel besconde met untimely death hands kidnap-for-ransom group kfrg abu sayyaf group asg hayag presidential spokesperson ernesto abella strongly condemn senseless coldblooded murder committed holy week bigay-di tagapagsalita lasyo abella local authorities pang security forces bawi labi biktima palakas operasyon armed forces philippes afp tugis bandido nawag laca publiko kipagtulung mahala asg call citizens throughout archipelago remain vigilant alert watchful cooperate security forces let us work common criminals make communities safer ensure nation worthy filipos wika abella,mariing kinondena palasyo malaca pagpugot bandidong abu sayyaf bihag kapitan barko noel besconde express sincerest condolences bereaved family fb ramon captain noel besconde met untimely death hands kidnap-for-ransom group kfrg abu sayyaf group asg pahayag presidential spokesperson ernesto abella strongly condemn senseless coldblooded murder committed holy week pagbibigay-diin tagapagsalita palasyo abella local authorities pang security forces mabawi labi biktima pinalakas operasyon armed forces philippines afp tugisin bandido nananawagan malaca publiko makipagtulungan pamahalaan asg call citizens throughout archipelago remain vigilant alert watchful cooperate security forces let us work common criminals make communities safer ensure nation worthy filipinos wika abella
"Pagpugot ng Sayyaf sa kapitan, kinondena ng palasyo",,rig kondena laca pugot ulo bandidong abu sayyaf bihag kapit fishing vessel express since rest condolences bereaved family fb ramon captain noel besconde met unti mely death hands kidnap-for-ransom group kfrg abu sayyaf group asg hayag presidential spokesperson ernesto abella strongly condemn senseless coldblooded murder committed holy week bigay-di taga salita lasyo abella local authorities pang security forces kaya gayon tunton labi biktima tuloy aniya tugis tropa gobyerno bandido nagot krimen ugnay na nawag laca bay kipagtulung mahala bandidong grupo,mariing kinondena malaca pagpugot ulo bandidong abu sayyaf bihag kapitan fishing vessel express since rest condolences bereaved family fb ramon captain noel besconde met unti mely death hands kidnap-for-ransom group kfrg abu sayyaf group asg pahayag presidential spokesperson ernesto abella strongly condemn senseless coldblooded murder committed holy week pagbibigay-diin taga pagsalita palasyo abella local authorities pang security forces makakaya gayon matunton labi biktima patuloy aniya pagtugis tropa gobyerno bandido mapanagot krimen kaugnay nana nawagan malaca kababayan makipagtulungan pamahalaan bandidong grupo
"French Embassy,  nagpalabas ng travel advisory",,labas french embassy manila travel advisory may gat punta central visayas banta teroristang grupong abu sayyaf credible reports threats kidnapping terrorist groups central visayas particularly cebu bohol base latas french embassy isyu noong abril philippe police also taking threat seriously already taken steps protect tourists foreigners even threat remains diffused areas concerned greater vigilance remains important ever dagdag embahada travel advisory embassy france sunod labas travel advisory united states united kingdom australia canada new zealand ibabala us embassy may impormasyon ugnay tangkang gidnap teroristang grupo central visayas sama cebu bohol payu may iwas ramg tao tipon vigilante oras,nagpalabas french embassy manila travel advisory mamamayan mag-ingat pagpunta central visayas banta teroristang grupong abu sayyaf credible reports threats kidnapping terrorist groups central visayas particularly cebu bohol base kalatas french embassy inisyu noong abril philippine police also taking threat seriously already taken steps protect tourists foreigners even threat remains diffused areas concerned greater vigilance remains important ever dagdag embahada travel advisory embassy france kasunod pagpapalabas travel advisory united states united kingdom australia canada new zealand ibinabala us embassy mamamayan impormasyon kaugnay tangkang pangingidnap teroristang grupo central visayas kasama cebu bohol pinayuhan mamamayan umiwas maraming tao pagtitipon vigilante oras
"Sayyaf, pumugot ng bihag?",,zamboanga city araw tapos putok balita pugut ulo abu sayyaf poy hostage wala kpirmasyon ilalabas militar ukol kalat intelligence community brutal tay gisdang noel besconde ganti slang militar abu sayyaf leader muamar askali alias abu rami sagupa noong raang lggo lawig bohol tikom big opisyal western mdanao command ukol tay besconde crew f b ramona dukot noong raang disyembre ragat sulu wala hayag abu sayyaf ukol wang taga-zamboanga del norte biktima bihag abu sayyaf halos dosenang asi sailors dukot ragat basil tawi-tawi bahagi autonomous region muslim mdanao,zamboanga city araw matapos pumutok balita pinugutan ulo abu sayyaf pinoy hostage wala kumpirmasyon inilalabas militar ukol kalat intelligence community brutal pagpatay mangingisdang noel besconde ganti pagpaslang militar abu sayyaf leader muamar askali alias abu rami sagupaan noong nakaraang linggo lalawigan bohol tikom bibig opisyal western mindanao command ukol pagpatay besconde crew f b ramona dinukot noong nakaraang disyembre karagatan sulu wala pahayag abu sayyaf ukol pawang taga-zamboanga del norte biktima bihag abu sayyaf halos dosenang asian sailors dinukot karagatan basilan tawi-tawi bahagi autonomous region muslim mindanao
