title,category,content
4 putok sa biker,C,sawi anyos biker tapos baril alitang driver kotse away-trapiko makalawa gabi quiapo ynila tamo tama bala ibang bahagi kataw biktimang mark vcent geralde gaming attendant atay isugod nam mary chiles hospital rocel bondoc estudyante taga- p casal st quiapo ynila tamo tama bala kataw kritikal kondisyon imbestigasyon spo john charles durang manila police district mpd homicide section anap sidente dakong alas- gabi p casal st quiapo ynila base kuha closed circuit television ctv barangay zone lakad biktima akay bisekleta hto suspek driver kulay pulang hyundai eon conduction sticker mo kitang usap biktima sunod ba kotse suspek suntuk hangggang balik kotse suspek baril muling nilapit biktima lakad saka baril bilis nam balik kotse suspek harurot saky puntang ayala bridge impormasyon kuha suntuk batid sagi suspek ehong bisekleta biktima talo tuloy nam sagawang imbestigasyon pulisya sidente
"Anti-drug cop, bulagta sa pulis",C,huli buhay opisyal quezon city police district qcpd baro miyembro sanib puwersa district special operation unit dsou task force limbas highway patrol group hpg criminal investigation detection group cidg sagawa buy-bust operation hantong encounter sawi fairview sabg lungsod hapon dalg-araw kilala qcpd director chief supt guillermo lorenzo eleazar sawi ps inspector ramon castillo gamazon y-asawa salukuy talaga district anti-illegal drug special operation task group daid-sotg qcpd camp rgal tubong asg as salukuy ira lot block phase richfield subdivision bog bacoor cavite chief supt eleazar yari sidente dakong alas- dalg-araw harap exit gate sisters mount carmel catholic school bulova st kanto regalado avenue brgy greater fairview quezon city encounter sanib puwersa qcpd litaw imbestigasyon spo cristituto zaldarriaga criminal investigation detection unit cidu sagawa buy-bust operation sanib puwersa qcpd kilalang sina spo bernardo suarez dsou po reynald cenon cidg aktong buyer shabu litaw salukuy sakay kulay itim toyota nova plakang wqm- sr insp castillo i-abot pulis nag gap buyer shabu kulay putg envelope lam pirasong tig-p bills hata agad suspek bilis itong putok pulis nauwi engkwentro
Batangas brgy. captain itinumba,C,sawi nilalapat lunas nl villa medical center anyos barangay captain lipa city batangas raang baril suspek sakay plakahang motorsiklo isyal imbestigasyon lipa component police station dakong alas- makalawa hapon upo radang jeep ver national highway brgy antipolo del norte biktimang leonardo pureza laylo barangay captain brgy olg west lipa city lapit suspek baril hagip misis biktima kilalang charito pureza takas tandem sakay pulang motorsiklo tungong padre garcia batangas alam bili tapay misis biktima lapit bakery rada saky mister hihtay baril kapit barangay
Pulis-Cavite dinakma ng kabaro,C,aresto baro silang municipal police station cavite saway pulis raang ireklamo nutok baril biktima hapon dakong alas- dalg-araw kilala silang mps arestong pulis po ryan jay uns mullet anyos talaga general riano alvarez municipal police station cavite ano bunot gloc service firearm itutok harap biktima salit anong itutok suspek ulo nina michael nuez salog elixer ernest casta eda jamiro hawak nitong baril lugaw buli silang cavite rgado ano live ammo baril parak gawa nutok
TULAK' INASINTA SA NOO,C,suspected drug pusher user patay di-kilalang suspek tanghaliang tapat tondo manila makalawa dead-on-the-spot biktimang kilalang genesis labiana alyas jenny bakla residente pier apex compound brgy zone district tondo manila bunsod tamong tama bala noo takas nam di-kilalang suspek bitbit gamit baril krimen imbestigasyon po bernardo cayabyab imbestigador manila police district mpd homicide section batid anap krimen dakong alas- tanghali nitong lggo gate rola compound tondo lakad ano biktima bigla lang lapit suspek baril noo resulta agarang matay rekober awtoridad biktima pirasong plastic sachet shabu balot bente pesos basyo libre lugar
Batangue a todas sa bugbog ni mister,C,yan anyos gang abot nitong lupit kamay sarilg mister tuluyang bawi buhay nilalapat lunas lobo municipal hospital batangas tapos itong bugbug dakong alas-dos hapon makalawa kilala lobo municipal police station mps sawg gang fely escamillas gabo bgy toctoc sabg bay arestado nam suspek mister nitong elias escamillas au anyos batay isyal imbestigasyon lobo mps sado alas-dos uwi suspek bahay datn biktima anu-ano bigla nitong suntok sipa misis tuluy itong lugmok mawal malay agad takas suspek dakma follow operation pulisya kulong harap song parricide
Pulis patay sa nag-amok na ex-Army,C,patay opisyal pulis baril dating sundalo tangka sanang awat huli wala sawi suspek tapos baril samahang pulis tay makalawa gabi sbate city sbate kuha sanang dal lapit amut subalit sawi opera tamong tama bala dibdib biktimang kilalang p insp bon calixto sbate police provincial office po samantala tay rispondeng pulis suspek noy punzal dating miyembro philippe army residente bgy ibggay batid lungsod subuk anong awat pulis walang suspek subalit imbes makig baril tama dibdib
"Lagare sa trike at droga, dinakma",C,anyos tricycle driver laki sideline tulak droga dakip raang kpiska kete shabu salakay tira bgy tangos baliwag bulac makalawa kilala pulisya arestong nelson dela cruz santos alias tuka asawa bgy tangos baliwag kpiska plastic sachet shabu tapos pasuk bahay dakong ala- dalg-araw salakay baliwag pnp bisa search warrant labas hon judge sita jose clemente branch los rtc regional trial court tir dela cruz bgy tangos baliwag palag suspek kpiska kete shabu dete harap song violation section article ii ra provincial prosecutors los city
17 nadale sa Florida shooting,C,katao atay sugat mass shooting event bata nightclub florida maril yari ano club blu bar gril fort myers florida ganap teen night event aga unang ulat sawg biktima anyos laki ano tao lugar bata edad anyos labis takot ramdam raang rig putuk bandang alas-sais aga uk time suspek kulong hanap sama
"Konsehal, patay sa likida",C,patay barangay councilor lamit city lawig basil tapos itong ratrat hapon di-kilalang lakg sakay motorsiklo kilala pulisya biktimang reynaldo trota barangay colonia baril baybay sitio sayug barangay anda sakay motorsiklo dead-on-the-spot ano trota tamong tama bala kataw dugu abut respondeng parak sabi pulisya bawi lugar basyo bala caliber pistol batid motibo maslang kalam trabaho spo amir jamlani lokal pulisya tuloy imbestigasyon anap
OFW arestado sa abortion,C,dakip kuwait police overseas filipo worker ofw tapos ano tulung kasta nitong pay i-abort dalang sanggol sabg bansa ulat al-rai daily huli alang ofw raang tuklas bigy abortion pills kasta upang laglag sapupun sugod hawally security personnel mubarak al-kabeer hospital tapos tanggap impormasyon gawa nitong pay ranas miscarriage subalit duda employer tunay yari pay upang sagawa imbestigasyon gitna imbestigasyon amin sabg filipo bigy abortion pills kasta kuha pang poy agad dakip samantala bantay-sarado nam awtoridad pay galg sabg ospital
Bulagtaan' pa  more sa Bulacan,C,asahang pang tulak droga bulac tutba sunod araw raang kpirmang bulac pnp tutok probsya illegal drug activities kundi grupo vigilante siyang responsable slang shabu pusher hulyo kpirmang abot slang shabu pusher bulac simula upo ulong duterte unguna lawig buong bansa raming slang shabu pusher sangkot nakaw carnappg murder biktima salvage tiyak bulac philippe national police pang lakas mpanya droga bulac taas slang tapos buw hulyo gawang lab huli buhay drug pusher kasa arresting officers
Turista dinukutan  ng dalawang babae,C,tangay pitaka lam p cash turistang laysi national tapos anong dukut bae lakad carriedo quiapo ynila reklamo tanggap manila police district-general assignment investigation section mpd-gais biktimang huey xuan unuluy sogo hotel avenida sta cruz ynila biktima lakad ano carriedo ns wala pitaka lam laysi id laysi debit card p laysi rggit p biktima malaw bae gitgit lakad dukot pitaka tanda
"Suklam, mura ibinato sa 'drug queen'",C,ani mura suklam ramg muslim dakip hanay diano benta iligal droga mdanao tandaang dakip philippe drug enforcement agency pdea johair abal alyas yora rimar brgy uswag live-in partner nitong suharto cabuat major pala philippe army sanny santic batid dating alkalde lanao del sur autonomous region muslim mdanao armm abal siyang ituturong diano supplier droga regions caraga armm itanggi nam dating pulitiko kpiska lakg kete hinalang shabu salapi armas kalat social media rtikular facebook laraw abal dakip balot kataw tradisyon hijab halos isuka nam netizens armm watch abal haram higpit bawal muslim samang gawa lalo droga
Kagawad utas sa land dispute,C,usap lupa silip motibo yarg maslang barangay gawad sugat sama noong huwebes gabi brgy papaya lungsod batay ulat isute p sr inspector arnel aguilar tanggap mayor arv salonga kilala slang gawad leopoldo alfanta ferrer brgy papaya rito sugat barangay nitong rodolfo mudlong litaw siyasat dakong alas-nuwebe gabi kipag- sina ferrer mudlong purok brgy papaya rito harap noong hto salar lul kulay itim kotse plaka kagya asinta baril armado ferrer tama ulo kataw atay tamo tama mudlong sugod district hospital agad utos mayor salonga tugis salar lagay alit lupa
Lolo inupakan ng parak,C,black-eye mukha pasa kataw anyos lo punta tanggap manila police district-general assignment investigation section mpd-gais ireklamo miyembro philippe national police pnp umbag hapon dalg-araw tondo ynila dala medical certificate ireklamo rodolfo siawgco taga concha st tondo ynila pulis kilala alang jonat hilario jr taga-concha st tondo ynila salukuy alam saang distrito pulisya talaga reklamo biktima pcsp arsenio riparip hepe mpd-gais ugat ano bag pulis tapos sita patid bae suspek dampot dumi aso harap bahay nilapit yung patid bae kasi lagg dudi harap bahay eh damput yong tae aso lapit yung pulis alit eh ayos nam sabi patid agad akong suntok mukha tapos yung sama laki hawak biktima ano tapos nakit suspek kaaga labas bahay sama apo asawa siyang nilapit suspek suntok mukha hulog motorsiklo
"2K tulak, user sumuko sa Bacoor",C,abot katao wang self-confessed user pusher lutang mass surrendering ganap lungsod bacoor cavite hapon aga kabuu user pusher bilang menor-de-edad barangay gawad kumpleto hanay sisuko strike gymnasium bacoor government center bacoor boulevard lungsod mismong mayor lani mercado-revilla una nunpa bagong-buhay ano sisuko harap ni-kanilang milya saksi nina cavite police provincial director supt arthur bisnar bacoor police chief supt christopher olazo miyembro sanguniang lunsod representante dilg region -a calabarzon barangay bacoor city sukong drug personality resulta agap sagawa opl tokhang bacoor component police station
"2 pang 'tulak', bulagta sa Batangas",C,bangkay kilalang lakg biktima tagpu hiwalay oras lugar batangas makalawa aga hinalang biktima summary execution alis elemento lipa city lemery municipal police station posibilidad drug related motibo krimen lalo igg raniw daang araw bulagta dibidwal sangkot droga dakong alas- unang diskubre bangkay tama bala ulo kataw tali paa kamay bukod sak tela bunganga purok brgy san lucas lipa city alas-nuwebe nam gulu residente brgy yapa lemery batangas bangkay taas tamtamang angataw suot berdeng miseta boxer shorts balot masking tape ulo kamay paa tama bala ulo kataw unang biktima
P3.5M shabu sa  dormitoryo,C,diskubre awtoridad gramo hinalaang shabu boarding house nirenta ano drug pusher leyte unguna leyte police provincial office lppo senior supt franco simborio p halaga shabu rekober san diego street district burauen leyte sabing tir tay drug pusher buw tulong informant tukoy pulisya boarding house burauen tagu ano chelito caimoy sabit illegal drug activities bay dulag tay caimoy kilalang salar noong ika- hulyo
"Akala'y tulak, basurero binistay",C,angalakal hanapbuhay rangal kamal anong tulak iligal droga baril tay lakihang lul motorsiklo lungsod calooc hapon dalg-araw ulat calooc city police rtikular ps supt ferdand del rosario sidente anap dakong alas- dalg-araw haba edsa lapit calan street brgy sabg lungsod salukuy ano noong lul bisikleta biktimang hermio feliciano anyos angalakal residente sabg lugar saksi maaga talaga anong bangon biktima upang mag pisang hanap lakal basura abala ano angalakal biktima bigla anong harang suspek saksi ano ukha dilim oras anu-anong ulan bala biktima tamo tama ulo ibang bahagi kataw agad ang sitakas salar tapos sidente nag iwan rton sulat pusher wag tular
"1,091 drug personality sumuko sa Mindoro",C,abot tulak drug user bawal gamot suko nauj police tubong mangy oriental mdoro makalawa philippe national police pnp mimaropa regional director c supt wilben mayor alanang mangy galg tribo alang indigenous groups bunduk mdoro island una kura roko nauj rev fr alejandro gobencion svd oath-taking suko dalu alkalde lugar mark n rcos philippe drugs enforcement agency pdea  b spokesperson gracel lano planong i-enroll drug users technical-vocational school parte rehabilitasyon
3 patay  sa tandem  sa Pasay,C,pang laki wang hinalaang tulak shabu dagdag lista sawg biktima tapos baril hiwalay lugar pasay city hapon kilala pasay city police biktima sina redentor alang driver tira brgy zone michael siaron ryan alfred esquivel hinalang gamit tulak iligal droga batay isyal imbestigasyon dakong alas- dalg-araw baril siaron haba edsa cor rotonda st turang lungsod lipas muto baril nam esquivel kalye leveriza tamo tama baril kataw sina siaron esquivel ano gaw riding-in-tandem alang slang dakong alas- makalawa gabi iwan kataw biktimang siaron ratulang sulat pusher wag tular rekober hot-sealed plastic shabu
TSINOY 'DRUG LORD' TIMBUWANG,C,suspected bigtime druglord tay tau pnp-anti-illegal drugs group aidg anap engkuwentro tuklas shabu laboratory hapon dalg-araw valenzuela city sabg engkuwentro personal sugod site sina pnp chief director general ronald dela rosa pdea director general isidro lapena batay ulat pnp-aidg tunton barangay lgun valenzuela city upang isilbi warrant arrest taguriang bigtime drug lord meco tan datg lugar tunog tan tangka itong takas sakay honda civic siklab mutong running gun battle nayam pnp chief sabi lakg operasyon big time drug lord tay small time pusher ugnay sok pnp-aidg bodega ano shabu laboratory rito bultu-bultong droga santiago bahagi tguriang plastic city chese nationals datn loob shabu laboratory mismong chief pnp sagawa speksyon tuloy sagawang imbestigasyon sidente upang tukoy kilanl dakip dayuhang suspek sabay sabi dela rosa simula sugpo tay lakg salot bansa tuloy igting mpanya iligal droga nayam dela rosa datnang tsik alam higit taon silang bansa bihasa tagalog
Lalaki niratrat ng kausap,C,baril tay anyos laki tapos anong itong kipag-usap kilalang suspek tagbilir city kilala supt george vale hepe tagbilir city police sawg biktima zoilo garcia iii ano anak retiradong pulis ira b ting sabg lungsod yari krimen dakong alas- dalg-araw nitong huwebes ano biktima tang kipag-usap kilalang laki bigla lang anong algawngaw putok baril kitang bulagta biktima
"24 na tulak, adik nadakip sa Bulacan",C,dalawampu katao bilang menor-de-edad dakip operatiba bulac pnp labg-isang hiwalay buy-bust operation siyudad bay bulac makalawa p senior supt romeo caramat jr acting bulac police director halos sabay-sabay sagawa buy-bust operation police station meycauay city bay calpit plaridel pandi norzagaray balagtas baliwag guigto sunod buy-bust operation gawa meycauay city pnp barangay camalig saluysoy katao dakip bilang menor-de-edad katao sakote calpit bilang menor-de-edad huli plaridel tig-dalawang tulak huli bay baliwag norzagaray tig-iisang shabu pusher korner bay pandi balagtas guigto abot kete shabu kpiska bukod ibang drug raphernalias
"Mag-utol na tulak, todas sa Albay",C,patay patid tulak ilegal droga tapos kipagbaril ano pulis anap buy bust operation makalawa gabi ligao city albay rehong dead spot tamong tama bala kataw suspek kilalang sina joel salvador sadla rehong hustong gulang residente barangay calzada batid lungsod ulat ligao city pnp anap sidente dakong alas-siyete gabi haba barangay calzada lungsod police poseur buyer bili droga suspek subalit halata ano upang unang putok patid
Shabu bagsak presyo sa Bicol,C,halagang p ano pwede tikim shabu sama jammg bicol region tagapagsalita police regional office pro sr insp malu calubaquib spokesperson bicol pnp ano takot tulak ilegal droga bagsak presyo halaga shabu rehiyon upang bilis itong ubos tigil tulak halagang p bili ano shabu calubaquib wala anong bili takot tiyempu salang gawang anti-drug operation pulis salukuy higit drug personalities suko bicol region lawig camares sur raming sukong tulak user shabu sund nam albay camares norte sbate sorsogon unti probsya catanduanes
Killer tahong sa Samar,C,bata atay pagka tahong positibo red tide samar kilala sawg sina roselyn rimala residente barangay caguts sierra island gerry miranda barangay san andres calbayog city regional director juan albaladejo bureau fisheries aquatic resources regional office- kain biktima tahong positibong kontamado red tide imbestiga munu calbayog responsable benta tahong
Airport cop naaktuhang kumukubra ng 'kotong',C,maarg sibak trabaho miyembro airport police department apd aktu itong hihgi parte kotong makail noy aquo international airport naia terminal ganap presscon tawag naia general manager ed monreal miyembro apd corporal joseph alday sangkot ano ongotong nsamantalang deta apd headquarters sabi monreal aktu alday hihgi parte sapakat video asset labas arrival public lobby terminal idagdag monreal muna tanggap buwanang suweldo benepisyo alday imbestiga iligal gawa monreal ubaya civil service commission song admistratibo alday takdang mpa ukulang song criminal pasay rtc
2 sa tandem bulagta sa 'Oplan Sita',C,dead spot lakg naka motorsiklo tapos kipagbaril pulis sagawa opl sita hapon dalg-araw las pi city kilala sawi joven dabu tira berang bukid santa rosa nueva ecija tamo tama bala ibang bahagi kataw tuloy pang alam pulisya kilanl report tanggap las pi chief sr supt jemar modequillo alas- hapon dalg-araw sagawa opl sita gawad tactical motorcycle riders unit tmru haba c- extension brgy pulang lupa uno turang lungsod mata lakg angkas motorsiklo plaka suot helmet bunga noo tigil pulis halip hto lalong harurot motorsiklo nag-warning shot pulis tigil putok baril resulta sawi
"Tulak ulit', itinumba",C,patay anyos tulak iligal droga tapos anong lab pulis gawang buy-bust operation makalawa gabi bay pili camares sur suspek kilalang melv dela torre ika- drug personalities bicol region slang tapos igting mpanya pulis iligal droga alam nitong raang lggo suko awtoridad suspek subalit tapos araw tunug awtoridad balik benta shabu upang sagawa operasyon
"""Para siyang baboy na kinatay!"" ",C,sakit anak rang baboy katay tratong tao hagpis ang dalamhati matay anak hinalang gamit iligal droga tapos tagpuang wakwak leeg sa-pasa buong kataw makalawa las pi biktima kilalang morrison manza alyas utoy anyos y-asawa trabaho residente carissa st rivera village naia pasay city batay ulat pulisya dakong alas- dalg-araw tagpu bangkay biktima bakanteng lote bf homes resort taklob supot mukha biktima gapos kamay latanda biktima summary execution batid hulg pitbahay biktima bandang alas-sgko makalawa hapon usap tricycle driver terminal southland subdivision turang lungsod lipas sandali biglang datg kilalang laki kilalang pulis posas agad biktima saka kay tungo kulay putg saky plaka harurut tungo direksiyon zapote-alabang road ina biktima libeth amado lulong droga anak subalit roon mpanya mahala ugnay opl tokhang kontra iligal droga boluntaryong suko awtoridad biktima sumpa muling gamit samantala tahasang ihayag hapon pnp chief director general ronald dela rosa daragdag patay drug suspects sunod buw dela rosa asa drug personalities patay daragdag igting mpanya mahal kontra iligal droga sabg datos hulyo hulyo palo aresto buhay lab mismong pnp internal affairs service aniya imbestiga pulis sangkot human rights violation kabuu palo surrenderees drug suspects buong bansa
PULIS-CAVITE NA SANGKOT SA DROGA IPINAHULI NI HEPE,C,aresto baro aktibong police inspector tapos sang entrapment operation bacoor component police station cps cavite cidg bgy bayan bacoor city cavite sado alas-otso aga hapon kilala p supt christoper olazo oic bacoor cps sakoteng suspek p insp lito dating talaga tel unit sabg himpil pulisya ugat sidente drug bust ikasa dasmari cps tuwang tel unit suspek noong hunyo sado alas-kuwatro hapon tunton grupo abandonadong kulay itim toyota fortuner drug suspek bgy molo bacoor city niwalaang rgang droga sabg suv gapatak droga wala kuha loob i-turn suspek himpil personal anong tawag olazo upang isurender ebidensyang droga igat ani olazo good faith ya hepe n ya asa huli ya idagdag nitong lapses violation police procedure yarg igat halos buw droga ebidensya amin bahagi gramo shabu gramo kuha posesyon hati ano sama dasmari police tira gramo
Peter Lim 2 oras sa NBI,C,lutang national bureau investigation nbi akusahang drug lord peter lim tugon utus ulong rodrigo duterte lis al sailalim imbestigasyon sado ala-una hapon datg nbi lim sama abogado atty ramon esguerra sakay kulay itim suv tagal higit oras gawang closed door meeting sabi esguerra nayam hayag tungo nbi lim kipagkooperasyon imbestigasyon tapos lutang al sangkot operasyon ilegal droga bansa bukod site lim hang affidavit bulaan sangkot operasyon ilegal droga bansa bagama amin esguerra mbestiga lim kongreso ugnay sangkot lim ilegal droga pursige kaso kulang ebidensya
"Shooting sa Pangasinan: Estudyante, 2 pa patay",C,patay katao bilang anyos estudyante as merchant marine academy pamma lungsod tapos baril kilalang suspek kilala estudyante julius raba baril suspek bahagi tebeng-carangla road sugod amut subalit ideklarang dead-on-arrival doktor bangkay laki tagpu haba bmaley-lucao road biktima tabi ratula saad tagang wag tular tulak matay tao sunod kayo ds
26K drug offenders sumuko sa Pampanga,C,sama-sama drug offenders bay lungsod suko pulisya lawig mpanga chief supt aron aquo director police regional office hapon araw raming suko base talang drug offenders dala mpanga sports complex dami sisuko amado aquo problemado anong rehab sabi aquo balewala suko sailalim kpletong proseso rehabilitation rehabilitation centers mpanga wang pribado ilangan p k p k pondo rehab sukong drug offenders hapon zba kuhan profile panpa pauwi ni-kanilang bahay
Bukas-balikbayan box sa NAIA,C,hirap tratrabaho ibang bansa tapos datg mo mong bansa nakaw hihagpis pay overseas filipo worker ofw tapos wala halagang gamit balikbay box datg makalawa noy aquo trernational airport naia terminal united states galit galit diskubre corazon quirang hustong gulang ofw amerika tubong san jose village bulac buks balikbay box bahay naka plastic lam halg gamit salubong milya wala balikbay box buks hayop yon pang dale lang akong ofw dismaya nam lang uwi pilipas bakasyon tapos ganun yari hirap trabaho ibang bansa datg mo pas nakaw galit hayag gang quirang ns gang kahon tape tak transportation security administration tsa amerika sabi naia bansang amerika buks anong labas salar amerika buks inspeksyon niyang kahon subalit kipagugnay daw tsa e-mail liwanag us buks kahon sama lagay bagahe notice inspection noi daw itong sticker barcode ma-trace speksyon bagahe banggit ano tsa e-mail wala tape gamit balikbay box ns ofw kulay logo orihal tsa tape kpara tsa packing tape gamit niyang kahon pilipas tira yan kahon talagang bago iyang naia iyan ulong duterte something hayag gang ako nam ed monreal tagapagsalita manila international airport authority imbestiga sabg reklamo upang batid buks sabg balikbay box
Journalist  tinaniman ng bomba sa kotse,C,sawi kilalang hayag tapos sabog saky bansang ukrae isyal imbestigasyon awtoridad security camera pasok intersection biktima sakay kotse nitong subaru xv bigla sabog tangkang saklolo biktima saksi subalit wala itong buhay tamong sugat ibang bahagi kataw sabog sabing nilagy bomba kilalang suspek saky biktima
